Sample_ID	Xenium_snvs	bulk_WES	snRNAseq	scRNAseq
HT243B1-S1H1A4U1	TRUE	TRUE	TRUE	FALSE
HT305B1-S1H5A1U1	TRUE	TRUE	TRUE	FALSE
HT308B1-S1H5A4U1	TRUE	TRUE	TRUE	FALSE
HT425B1-S1H1Fp1U1	TRUE	TRUE	TRUE	FALSE
HT65B1-H1A1A4U1	TRUE	TRUE	TRUE	FALSE
HT268B1-Th1H3L1U1	TRUE	TRUE	TRUE	FALSE
C3L-01287-11Us2_1	TRUE	TRUE	FALSE	FALSE
WUPE08092A1-S1H3U1	TRUE	TRUE	FALSE	FALSE
SP002C1-Fp1U2	TRUE	FALSE	FALSE	FALSE
HT260C1-Th1K1L1U1	TRUE	TRUE	TRUE	FALSE
HT179C1-T1Fp3L5U1	TRUE	TRUE	TRUE	FALSE
C3L-03372-12Us3_1	TRUE	TRUE	FALSE	FALSE
C3N-00663-11U3	TRUE	TRUE	TRUE	FALSE
WUPE82256U1-Fp1U1	TRUE	TRUE	FALSE	FALSE
WUPE25723U1-Fp1U1	TRUE	TRUE	FALSE	FALSE
WUPE68972U1-Fp1U1	TRUE	TRUE	FALSE	FALSE
WUPE38758U1-Fp1U1	TRUE	TRUE	FALSE	FALSE
WUPE62598U1-Fp2U1	TRUE	TRUE	FALSE	FALSE
WUPE28077U1-Fp1U1	TRUE	TRUE	FALSE	FALSE
WUPE86238U1-Fp1U1	TRUE	TRUE	FALSE	FALSE
WUPE04916U1-Fp1U1	TRUE	TRUE	FALSE	FALSE
HT227P1-S1H1L1U1	TRUE	TRUE	TRUE	FALSE
HT242P1-S1H4L4U1	TRUE	TRUE	TRUE	FALSE
HT284P1-S1H1A1U1	TRUE	TRUE	TRUE	FALSE
HT270P1-S1H1A1US2_1	TRUE	TRUE	TRUE	FALSE
HT060P1-S1R1Fp1U1	TRUE	TRUE	FALSE	TRUE
HT061P1-S1P1A1L1U1	TRUE	TRUE	FALSE	TRUE
HT061P1-S1P1A1L4U1	TRUE	TRUE	FALSE	TRUE
HT125P1-S1H4A1L1U1	TRUE	TRUE	FALSE	TRUE
HT125P1-S1H8A1U1	TRUE	TRUE	FALSE	TRUE
HT185P1-S1H2L1U1	TRUE	TRUE	FALSE	TRUE
SP001P1-Fp1U1	TRUE	TRUE	TRUE	FALSE
SN105H1-Ma1Fp2-5U1	TRUE	FALSE	FALSE	FALSE
SN106H1-Ma1Fp2-7U1	TRUE	FALSE	FALSE	FALSE